,RM12/0002,RM12/0003,RM12/0005,RM12/0008,RM12/0012,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,POILBREUSDM_1,PPOILUSDM_1,WPU0652013A_1,Electricity_1,PNGASEUUSDM_2,POILBREUSDM_2,PPOILUSDM_2,WPU0652013A_2,Electricity_2,PNGASEUUSDM_3,POILBREUSDM_3,PPOILUSDM_3,WPU0652013A_3,Electricity_3,PNGASEUUSDM_4,POILBREUSDM_4,PPOILUSDM_4,WPU0652013A_4,Electricity_4,PNGASEUUSDM_5,POILBREUSDM_5,PPOILUSDM_5,WPU0652013A_5,Electricity_5,PNGASEUUSDM_6,POILBREUSDM_6,PPOILUSDM_6,WPU0652013A_6,Electricity_6,PNGASEUUSDM_7,POILBREUSDM_7,PPOILUSDM_7,WPU0652013A_7,Electricity_7,PNGASEUUSDM_8,POILBREUSDM_8,PPOILUSDM_8,WPU0652013A_8,Electricity_8,PNGASEUUSDM_9,POILBREUSDM_9,PPOILUSDM_9,WPU0652013A_9,Electricity_9,PNGASEUUSDM_10,POILBREUSDM_10,PPOILUSDM_10,WPU0652013A_10,Electricity_10,PNGASEUUSDM_11,POILBREUSDM_11,PPOILUSDM_11,WPU0652013A_11,Electricity_11,PNGASEUUSDM_12,POILBREUSDM_12,PPOILUSDM_12,WPU0652013A_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
24,False,False,True,False,False,2016,12,2016-12-31,non-ionic surfactant,1.7587120397969986,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,5.09,32.0452380952381,531.619442572607,90.6,41.42,5.81,38.5252173913043,520.602567605653,92.7,48.38,1.6811395783389858,1.65700038951187,1.707564054755935,1.6600004327909668,1.6637504868898376,1.720666037093225,1.652500324593225,1.63,1.63,1.63,1.63,1.6499999999999997
25,False,True,False,False,False,2016,12,2016-12-31,non-ionic surfactant,1.2897143923525032,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,5.09,32.0452380952381,531.619442572607,90.6,41.42,5.81,38.5252173913043,520.602567605653,92.7,48.38,1.260000067860684,1.2151111940519472,1.1670000746467522,1.1232727951334114,1.1777778607186138,1.0996667275803804,1.051875,1.0488888888888888,1.0171428571428571,1.038909090909091,1.142,1.06
26,False,False,True,False,False,2017,1,2017-01-31,non-ionic surfactant,1.6458336579265584,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,5.09,32.0452380952381,531.619442572607,90.6,41.42,1.7587120397969986,1.6811395783389858,1.65700038951187,1.707564054755935,1.6600004327909668,1.6637504868898376,1.720666037093225,1.652500324593225,1.63,1.63,1.63,1.63
27,False,True,False,False,False,2017,1,2017-01-31,non-ionic surfactant,1.3118889732077657,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,5.09,32.0452380952381,531.619442572607,90.6,41.42,1.2897143923525032,1.260000067860684,1.2151111940519472,1.1670000746467522,1.1232727951334114,1.1777778607186138,1.0996667275803804,1.051875,1.0488888888888888,1.0171428571428571,1.038909090909091,1.142
28,False,False,True,False,False,2017,2,2017-02-28,non-ionic surfactant,1.79700012983729,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,1.6458336579265584,1.7587120397969986,1.6811395783389858,1.65700038951187,1.707564054755935,1.6600004327909668,1.6637504868898376,1.720666037093225,1.652500324593225,1.63,1.63,1.63
29,False,True,False,False,False,2017,2,2017-02-28,non-ionic surfactant,1.4077002157624459,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,4.79,33.762380952381,595.900683226908,84.7,38.14,1.3118889732077657,1.2897143923525032,1.260000067860684,1.2151111940519472,1.1670000746467522,1.1232727951334114,1.1777778607186138,1.0996667275803804,1.051875,1.0488888888888888,1.0171428571428571,1.038909090909091
30,False,False,True,False,False,2017,3,2017-03-31,non-ionic surfactant,1.6480002596745797,6.10029830555555,56.096,706.793595646491,74.8,49.1,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,1.79700012983729,1.6458336579265584,1.7587120397969986,1.6811395783389858,1.65700038951187,1.707564054755935,1.6600004327909668,1.6637504868898376,1.720666037093225,1.652500324593225,1.63,1.63
31,False,True,False,False,False,2017,3,2017-03-31,non-ionic surfactant,1.3030909780790811,6.10029830555555,56.096,706.793595646491,74.8,49.1,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,4.09,39.7921739130435,633.067782763729,83.8,28.95,1.4077002157624459,1.3118889732077657,1.2897143923525032,1.260000067860684,1.2151111940519472,1.1670000746467522,1.1232727951334114,1.1777778607186138,1.0996667275803804,1.051875,1.0488888888888888,1.0171428571428571
32,False,False,True,False,False,2017,4,2017-04-30,non-ionic surfactant,1.827353786782575,4.94502034782608,52.6552173913044,663.299519382585,77.9,46.83,6.10029830555555,56.096,706.793595646491,74.8,49.1,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,1.6480002596745797,1.79700012983729,1.6458336579265584,1.7587120397969986,1.6811395783389858,1.65700038951187,1.707564054755935,1.6600004327909668,1.6637504868898376,1.720666037093225,1.652500324593225,1.63
33,False,True,False,False,False,2017,4,2017-04-30,non-ionic surfactant,1.3455000948587366,4.94502034782608,52.6552173913044,663.299519382585,77.9,46.83,6.10029830555555,56.096,706.793595646491,74.8,49.1,6.27813985858586,55.7109090909091,726.488555994266,69.5,64.31,5.16,55.0227272727273,711.756236551718,68.8,71.85,4.54,46.9422727272727,669.99758823287,68.8,49.21,4.01,51.4138095238095,651.448642642048,68.0,35.49,3.96,47.3768181818182,692.406658440732,68.3,33.32,4.25,47.0521739130435,664.377119626144,70.4,26.62,4.3,46.5985714285714,584.190132904984,76.3,26.04,4.04,49.8772727272727,618.453034128718,82.4,24.61,3.99,47.735,644.564789449039,83.9,23.64,4.02,43.3304761904762,680.375486749158,85.7,25.25,1.3030909780790811,1.4077002157624459,1.3118889732077657,1.2897143923525032,1.260000067860684,1.2151111940519472,1.1670000746467522,1.1232727951334114,1.1777778607186138,1.0996667275803804,1.051875,1.0488888888888888
