,RM10/0001,RM10/0002,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,PPOILUSDM_1,Electricity_1,PNGASEUUSDM_2,PPOILUSDM_2,Electricity_2,PNGASEUUSDM_3,PPOILUSDM_3,Electricity_3,PNGASEUUSDM_4,PPOILUSDM_4,Electricity_4,PNGASEUUSDM_5,PPOILUSDM_5,Electricity_5,PNGASEUUSDM_6,PPOILUSDM_6,Electricity_6,PNGASEUUSDM_7,PPOILUSDM_7,Electricity_7,PNGASEUUSDM_8,PPOILUSDM_8,Electricity_8,PNGASEUUSDM_9,PPOILUSDM_9,Electricity_9,PNGASEUUSDM_10,PPOILUSDM_10,Electricity_10,PNGASEUUSDM_11,PPOILUSDM_11,Electricity_11,PNGASEUUSDM_12,PPOILUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
27,False,True,2017,4,2017-04-30,anionic surfactant,1.2907752824880463,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,4.02,680.375486749158,25.25,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875,1.3066666666666666
28,False,True,2017,5,2017-05-31,anionic surfactant,1.2505014933333334,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,3.99,644.564789449039,23.64,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031,1.0821503875
29,False,True,2017,6,2017-06-30,anionic surfactant,1.276749045,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,4.04,618.453034128718,24.61,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336,1.21772031
30,False,True,2017,7,2017-07-31,anionic surfactant,1.3086395308333334,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,4.3,584.190132904984,26.04,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716,1.2741965758333336
31,False,True,2017,8,2017-08-31,anionic surfactant,1.3155829285714287,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,4.25,664.377119626144,26.62,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297,1.0702776374382716
32,False,True,2017,9,2017-09-30,anionic surfactant,1.2474053121428572,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,3.96,692.406658440732,33.32,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653,1.2210299056296297
33,False,True,2017,10,2017-10-31,anionic surfactant,1.3137358354835,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,4.01,651.448642642048,35.49,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333,1.0547663520987653
34,False,True,2017,11,2017-11-30,anionic surfactant,1.297280849,5.8925193535705,648.161663544148,43.73,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,4.54,669.99758823287,49.21,1.3137358354835,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425,1.3038512183333333
35,False,True,2017,12,2017-12-31,anionic surfactant,1.24660106125,6.73403752405179,635.563806500635,57.07,5.8925193535705,648.161663544148,43.73,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,5.16,711.756236551718,71.85,1.297280849,1.3137358354835,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367,1.3042589425
36,False,True,2018,1,2018-01-31,anionic surfactant,1.2847630950000002,7.20979162558986,592.797796439949,56.42,6.73403752405179,635.563806500635,57.07,5.8925193535705,648.161663544148,43.73,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,6.27813985858586,726.488555994266,64.31,1.24660106125,1.297280849,1.3137358354835,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781,1.198277139618367
37,False,True,2018,2,2018-02-27,anionic surfactant,1.4274762234,6.6483033104452,633.347501155855,58.38,7.20979162558986,592.797796439949,56.42,6.73403752405179,635.563806500635,57.07,5.8925193535705,648.161663544148,43.73,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,6.10029830555555,706.793595646491,49.1,1.2847630950000002,1.24660106125,1.297280849,1.3137358354835,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382,1.264582719282781
38,False,True,2018,3,2018-03-31,anionic surfactant,1.3937309130000002,7.84103556202786,642.943711013104,55.31,6.6483033104452,633.347501155855,58.38,7.20979162558986,592.797796439949,56.42,6.73403752405179,635.563806500635,57.07,5.8925193535705,648.161663544148,43.73,6.04060639329964,661.631565157988,35.6,5.53605864288667,621.819465680048,32.43,5.09602758292347,617.158220835306,34.86,4.98381825297843,621.181586939107,33.51,5.07717077404447,655.510616305257,32.56,5.03512731388889,623.207664785016,38.91,4.94502034782608,663.299519382585,46.83,1.4274762234,1.2847630950000002,1.24660106125,1.297280849,1.3137358354835,1.2474053121428572,1.3155829285714287,1.3086395308333334,1.276749045,1.2505014933333334,1.2907752824880463,1.3048539014267382
