,RM04/0001,RM04/0006,Year,Month,Time,Group Description,Average_price,PNGASEUUSDM_1,Electricity_1,PNGASEUUSDM_2,Electricity_2,PNGASEUUSDM_3,Electricity_3,PNGASEUUSDM_4,Electricity_4,PNGASEUUSDM_5,Electricity_5,PNGASEUUSDM_6,Electricity_6,PNGASEUUSDM_7,Electricity_7,PNGASEUUSDM_8,Electricity_8,PNGASEUUSDM_9,Electricity_9,PNGASEUUSDM_10,Electricity_10,PNGASEUUSDM_11,Electricity_11,PNGASEUUSDM_12,Electricity_12,AR_1,AR_2,AR_3,AR_4,AR_5,AR_6,AR_7,AR_8,AR_9,AR_10,AR_11,AR_12
25,False,True,2017,2,2017-02-28,bleaching agent,0.1293333333333333,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,4.79,38.14,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997,0.11
26,False,True,2017,3,2017-03-31,bleaching agent,0.13208343999999997,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,4.09,28.95,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334,0.12249999999999997
27,False,True,2017,4,2017-04-30,bleaching agent,0.11781167685714282,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,4.02,25.25,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428,0.12383333333333334
28,False,True,2017,5,2017-05-31,bleaching agent,0.14872679916666665,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,3.99,23.64,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665,0.12728571428571428
29,False,True,2017,6,2017-06-30,bleaching agent,0.11934901388888888,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,4.04,24.61,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999,0.12266666666666665
30,False,True,2017,7,2017-07-31,bleaching agent,0.13498002214285712,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,4.3,26.04,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666,0.14024999999999999
31,False,True,2017,8,2017-08-31,bleaching agent,0.13930255626038066,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,4.25,26.62,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668,0.12266666666666666
32,False,True,2017,9,2017-09-30,bleaching agent,0.13303922378305083,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,3.96,33.32,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129,0.12966666666666668
33,False,True,2017,10,2017-10-31,bleaching agent,0.12440037203600904,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,4.01,35.49,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998,0.129
34,False,True,2017,11,2017-11-30,bleaching agent,0.14196795852412614,5.8925193535705,43.73,6.04060639329964,35.6,5.53605864288667,32.43,5.09602758292347,34.86,4.98381825297843,33.51,5.07717077404447,32.56,5.03512731388889,38.91,4.94502034782608,46.83,6.10029830555555,49.1,6.27813985858586,64.31,5.16,71.85,4.54,49.21,0.12440037203600904,0.13303922378305083,0.13930255626038066,0.13498002214285712,0.11934901388888888,0.14872679916666665,0.11781167685714282,0.13208343999999997,0.1293333333333333,0.143052921875,0.1252,0.11949999999999998
